universidad,latitude,longitude,Call Center,Triage hospitalario,Testeos comunitarios,Testeos masivos,Asistencia en centros de aislamiento,Vacunación Antigripal,Asistencia a viajeros,Llamados a geriátricos,Asistencia en hoteles de repatriados,Cobertura puntos de ingreso a la ciudad,Org. e impl. de Proyecto de Centro de aislamiento,Acomp.en salud Mental Com.en gral.,Acomp en SM encomunidad FCM Willay,"Teletriage deriv de casos,activ protocolo covid",Seg.Contactos estrechos,Formacion en el HUI p/triage Hosp.,CETEC PBA,Partici.Comite de crisis en CCEU P.Lara,Confeccion recetas electronicass,Salidas a Terreno-Edcacion en Salud,Confeccion material audiovisual,Asistencia Laborato No Covid,Capacitacion Equipos Interprofesionales,Proy.Plataforma de TESTEO,Recoleccion alimentos p/comedor,Elab alimentos saludables,Asistente de hisopado(escribiente),Auditoria en Centrosde salud,Progr. De gestion de stres,Integracion Voluntarios al escenario curricular,Busqueda y editorializacion de novedades cientificas,Publ. local   reflexi. en torno a la pandemia ,Mesa de Bioseguridad 
UNICEN ,-37.328921,-59.138558,3,,4,4,11,2,,5,,2,,,,,,,,,,,,,,,,,,,,,,,
UNLaM,-34.669534,-58.565696,10,,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
UNS,-38.702447,-62.270455,3,,,,3,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,
UNPSJB,-45.824762,-67.46406,1,,1,,2,1,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
UNAJ,-34.777262,-58.269025,3,,,1,4,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,
UN Sgo del Estero,-27.801694,-64.25162,,,,,,,,,,,2,16,16,,,,,,,,,,,,,,,,,,,,
UNCUYO,-32.880263,-68.874913,,,,,,,,,,,,,,6,8,,,,,,,,,,,,,,,,,,
UNLP,-34.913841,-57.951199,,,1,,1,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,
UNCAus,-26.801819,-60.44668,5,,,,5,,,,,,,,,,,,,,2,4,2,,,,,,,,,,,,
UNR,-32.949629,-60.654667,7,,,,7,10,,,,,,,,,,,,,,,,,,15,,,,,,,,,
UNL,-31.637429,-60.707371,2,,1,,3,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
UNER,-31.726029,-60.531918,9,,,,9,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,
UNComahue,-41.14456,-71.316405,3,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,3,10,,,
UNCordoba ,-31.435806,-64.18542,8,5,10,10,33,5,,3,,5,,,,,,,,,,,,,,,,5,10,4,,,,,5
UNMDP,-38.005878,-57.570781,6,,,,,,,,,,,,,,,,,,,12,2,,12,,,5,,,4,4,3,12,
