universidad,latitude,longitude,Call Center,Triage hospitalario,Testeos comunitarios,Testeos masivos,Asistencia en centros de aislamiento,Vacunación Antigripal,Asistencia a viajeros,Llamados a geriátricos,Asistencia en hoteles de repatriados,Cobertura puntos de ingreso a la ciudad,Org. e impl. de Proyecto de Centro de aislamiento,Acomp.en salud Mental Com.en gral.,Acomp en SM encomunidad FCM Willay,"Teletriage deriv de casos,activ protocolo covid",Seg.Contactos estrechos,Formacion en el HUI p/triage Hosp.,CETEC PBA,Partici.Comite de crisis en CCEU P.Lara,Confeccion recetas electronicass,Salidas a Terreno-Edcacion en Salud,Confeccion material audiovisual,Asistencia Laborato No Covid,Capacitacion Equipos Interprofesionales,Proy.Plataforma de TESTEO,Recoleccion alimentos p/comedor,Elab alimentos saludables,Asistente de hisopado(escribiente),Auditoria en Centrosde salud,Progr. De gestion de stres,Integracion Voluntarios al escenario curricular,Busqueda y editorializacion de novedades cientificas,Publ. local   reflexi. en torno a la pandemia ,Mesa de Bioseguridad 
UNICEN ,-37.328921,-59.138558,18,,60,60,,5,,20,,30,,,,,,,,,,,,,,,,,,,,,,,
UNLaM,-34.669534,-58.565696,94,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
UNS,-38.702447,-62.270455,74,,,,,24,,140,,,,,,,,,,,,,,,,,,,,,,,,,
UNPSJB,-45.824762,-67.46406,18,6,20,,,18,,,,3,,,,,,,,,,,,12,,,,,,,,,,,
UNAJ,-34.777262,-58.269025,460,23,12,9,35,2,18,,10,,,,,,,,,,,,,,,,,,,,,,,,
UN Sgo del Estero,-27.801694,-64.25162,,,,,1,,,,,,,107,,,,,,,,,,,,,,,,,,,,,
UNCUYO,-32.880263,-68.874913,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,
UNLP,-34.913841,-57.951199,24,,14,,,,,,,,,,,,,560,16,5,,,,,,,,,,,,,,,
UNCAus,-26.801819,-60.44668,39,,,,,,,,,,,,,,,,,,2,190,46,,,,,,,,,,,,
UNR,-32.949629,-60.654667,70,,,,,100,,,,,,,,,,,,,,,,,,,25,,,,,,,,
UNL,-31.637429,-60.707371,72,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNER,-31.726029,-60.531918,22,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
UNComahue,-41.14456,-71.316405,10,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
UNCordoba ,-31.435806,-64.18542,30,30,200,350,,400,,40,,315,,,,,,,,,,,,,,,,200,200,45,50,,,,50
UNMDP,-38.005878,-57.570781,56,,,,,,,,,,,,,,,,,,,6,1,,15,,,,,,3,10,,,
